,,,,,,,,,,,,,,Alt text for submission,"Optional long description or review note for complex figures, diagrams, or charts"
ALT-0064,en,Part 12: Specialized Datasets and Multimodal Data Engineering Practice,Ch41,"Chapter 41: Visual Reasoning Data Engineering: Chart Evidence, Medical Images, and Tool-Call Trajectories",docs/en/part12/ch41_visual_reasoning_tool_data_engineering.md,572,1941-08-01T00:00:00,Figure 41-8: Real image and bbox evidence in the SFT schema,Figure 41-8: Real image and bbox evidence in the SFT schema,docs/images/part12/Xu-Chap41-Fig08-EN.svg,yes,2100x980,svg,Bbox is a structured field and should be recoverable as reviewable visual evidence.,"This figure shows an SFT schema example in which the real medical image, bounding-box field, local visual evidence, question, answer, and tool observation remain tied together in one reviewable record. The bounding box is treated as a structured field rather than decorative metadata, so the region can be recovered during annotation review, training-data audit, and failure analysis."
ALT-0065,en,Part 12: Specialized Datasets and Multimodal Data Engineering Practice,Ch41,"Chapter 41: Visual Reasoning Data Engineering: Chart Evidence, Medical Images, and Tool-Call Trajectories",docs/en/part12/ch41_visual_reasoning_tool_data_engineering.md,707,1941-09-01T00:00:00,Figure 41-9: Quality-control and human-review gates,Figure 41-9: Quality-control and human-review gates,docs/images/part12/Xu-Chap41-Fig09-EN.svg,yes,2000x1120,svg,"Quality-control and human-review gates. Medical image tool-use data needs to check answer, evidence, and behavior together; automated validation and human review should complement each other.","This figure shows a quality-control workflow that combines automatic validation gates with human review before samples are accepted into a training dataset. The automatic gates check structure, image dependency, region consistency, and tool validity. Low-confidence or high-risk samples move into the human review queue, and the result log records pass, revise and regenerate, shift to direct VQA, or drop with a recorded reason."
ALT-0066,en,Part 12: Specialized Datasets and Multimodal Data Engineering Practice,Ch42,"Chapter 42: Speech and Audio Data Engineering: Interaction Control, Style Labels, and Safety Boundaries",docs/en/part12/ch42_speech_audio_interaction_data_engineering.md,70,1942-01-01T00:00:00,Figure 42-1: Dual-channel schema for semantic response and style control,Figure 42-1: Dual-channel schema for semantic response and style control,docs/images/part12/Chen-Chap42-Fig01-EN.svg,yes,1280x560,svg,"Dual-channel schema for semantic response and style control. The semantic channel answers ""what to say,"" the style channel answers ""with which voice and emotion to say it,"" and the acoustic supervision channel binds both to audio files, speech tokens, and sampling configuration.",
ALT-0067,en,Part 12: Specialized Datasets and Multimodal Data Engineering Practice,Ch42,"Chapter 42: Speech and Audio Data Engineering: Interaction Control, Style Labels, and Safety Boundaries",docs/en/part12/ch42_speech_audio_interaction_data_engineering.md,271,1942-02-01T00:00:00,Figure 42-2: VoiceStyleControl data construction pipeline,Figure 42-2: VoiceStyleControl data construction pipeline,docs/images/part12/Chen-Chap42-Fig02-EN.svg,yes,1320x380,svg,"VoiceStyleControl data construction pipeline. Text conversation or style content is first assigned speaker and emotion conditions, then audio is generated or collected through the authorized reference voice pool, and finally the samples are tokenized, quality-checked, balanced, and packaged.",
ALT-0068,en,Part 12: Specialized Datasets and Multimodal Data Engineering Practice,Ch42,"Chapter 42: Speech and Audio Data Engineering: Interaction Control, Style Labels, and Safety Boundaries",docs/en/part12/ch42_speech_audio_interaction_data_engineering.md,365,1942-03-01T00:00:00,Figure 42-3: Quality assessment and data flywheel closed loop,Figure 42-3: Quality assessment and data flywheel closed loop,docs/images/part12/Chen-Chap42-Fig03-EN.svg,yes,1120x430,svg,"Quality assessment and data flywheel closed loop. Automated validation, reverse ASR, style assessment, and manual sampling together form a defective-sample queue that feeds back into re-synthesis, re-annotation, downweighting, or removal.",
ALT-0069,en,Part 12: Specialized Datasets and Multimodal Data Engineering Practice,Ch43,"Chapter 43: Reasoning Trace Data Engineering: Long-Chain Compression, Implicit Computation, and Supervision Masks",docs/en/part12/ch43_reasoning_trace_compression_data_engineering.md,33,1943-01-01T00:00:00,Figure 43-1: Latent-Switch-69K Construction Pipeline,Figure 43-1: Latent-Switch-69K Construction Pipeline,docs/images/part12/Li-Chap43-Fig01.svg,yes,1502.114x436.48425,svg,"Latent-Switch-69K distills reasoning traces from Dolci-Think-SFT-32B into solution intuitions, compressed CoT, latent budgets, student sequences, and mask-aligned SFT records.","The figure presents a left-to-right data engineering pipeline for building Latent-Switch-69K. Source reasoning traces from Dolci-Think-SFT-32B are first extracted and normalized. A teacher model then distills each long reasoning trace into two complementary components: a high-level solution intuition and a compressed explicit chain-of-thought. The solution intuition is used to estimate the number of latent reasoning slots, while the compressed chain-of-thought and final answer remain visible in the student sequence. The rendered training record contains a latent reasoning interval, an explicit reasoning interval, and an answer span. The final stage constructs supervision masks so that prompt tokens and latent interior placeholders are ignored by ordinary cross-entropy, while structural boundaries, explicit reasoning, answer tokens, and selected teacher-KL positions receive targeted supervision. The purpose of the figure is to show that reasoning-trace compression is not simple summarization; it is a structured transformation from long visible reasoning into an auditable training record with hidden planning budget, visible verification, and mask-controlled objectives."
ALT-0070,en,Part 12: Specialized Datasets and Multimodal Data Engineering Practice,Ch43,"Chapter 43: Reasoning Trace Data Engineering: Long-Chain Compression, Implicit Computation, and Supervision Masks",docs/en/part12/ch43_reasoning_trace_compression_data_engineering.md,58,1943-02-01T00:00:00,Figure 43-2: Latent-Switch-69K Data Sources and Domain Composition,Figure 43-2: Latent-Switch-69K Data Sources and Domain Composition,docs/images/part12/Li-Chap43-Fig02.png,yes,2304x1052,png,"The final training set contains 69,745 samples; mathematics, code, and precise instruction-following data account for a large share.","The figure summarizes the source composition of the Latent-Switch-69K corpus as a donut chart with 69,745 training samples in the center. The largest source is Dolci Think OpenThoughts3 Math, representing 32.0% or 22,334 samples. The second-largest source is Dolci Think Python Algorithms, representing 22.2% or 15,474 samples. Other major sources include Persona Precise IF with 9.2% or 6,435 samples, Dolci Think Precise IF with 6.3% or 4,426 samples, Nemotron Code with 5.0% or 3,508 samples, SYNTHETIC-2-SFT-Verified with 4.9% or 3,390 samples, Dolci Think OpenThoughts3 STEM with 4.7% or 3,244 samples, Aya with 4.4% or 3,098 samples, and Dolci Think OpenThoughts3 Code with 4.0% or 2,780 samples. Smaller sources include Wildchat, WildJailbreak, WildGuardMix, and Others. The main takeaway is that the dataset is intentionally concentrated in reasoning-heavy domains, especially mathematics, code, precise instruction following, and STEM, rather than being a general-purpose conversational SFT corpus."
ALT-0071,en,Part 12: Specialized Datasets and Multimodal Data Engineering Practice,Ch43,"Chapter 43: Reasoning Trace Data Engineering: Long-Chain Compression, Implicit Computation, and Supervision Masks",docs/en/part12/ch43_reasoning_trace_compression_data_engineering.md,183,1943-03-01T00:00:00,"Figure 43-3: Comparison of Original CoT, Compressed CoT, and Latent Placeholders","Figure 43-3: Comparison of Original CoT, Compressed CoT, and Latent Placeholders",docs/images/part12/Li-Chap43-Fig03.svg,yes,1342.4434x565.25885,svg,"The extensive visible reasoning in the source trace is split into two types of signal: solution intuition is used to estimate the latent budget, and the compressed CoT is used for explicit verification and answer supervision.","The figure contrasts three representations of reasoning data. The original representation contains a long visible chain-of-thought, where most of the token budget is spent on detailed intermediate reasoning. The compressed representation separates the high-level solution plan from the explicit verification path: the solution intuition captures planning information, and the compressed chain-of-thought retains only the visible reasoning needed to justify the answer. The latent-switch representation then maps the solution intuition into a bounded number of latent placeholders, followed by a shorter visible chain-of-thought and the final answer."
ALT-0072,en,Part 12: Specialized Datasets and Multimodal Data Engineering Practice,Ch43,"Chapter 43: Reasoning Trace Data Engineering: Long-Chain Compression, Implicit Computation, and Supervision Masks",docs/en/part12/ch43_reasoning_trace_compression_data_engineering.md,196,1943-04-01T00:00:00,Figure 43-4: Distributions of Original and Distilled Reasoning Length and Compression Ratio,Figure 43-4: Distributions of Original and Distilled Reasoning Length and Compression Ratio,docs/images/part12/Li-Chap43-Fig04.png,yes,2304x422,png,"This figure shows the distributions of source CoT length, distilled CoT length, intuition length, ground truth length, and compression ratio.","The figure visualizes corpus-level distributions used to audit the compression process in Latent-Switch-69K. It compares the length of the original reasoning trace with the length of the distilled explicit chain-of-thought, the length of the solution intuition, the length of the ground-truth or final answer, and the resulting compression ratio. The compression ratio is defined as distilled chain-of-thought length divided by original chain-of-thought length. The chapter reports a mean compression ratio of 0.612 and a median of 0.569, indicating that the visible reasoning trace is substantially shortened but not reduced to only the answer. The purpose of the figure is to support quality control: compressed samples should reduce token cost while preserving enough explicit verification to connect the question to the final answer. Extremely short compressed traces may indicate over-compression, while unusually long traces may indicate insufficient compression or unstable distillation."
ALT-0073,en,Part 12: Specialized Datasets and Multimodal Data Engineering Practice,Ch43,"Chapter 43: Reasoning Trace Data Engineering: Long-Chain Compression, Implicit Computation, and Supervision Masks",docs/en/part12/ch43_reasoning_trace_compression_data_engineering.md,354,1943-05-01T00:00:00,Figure 43-5: Supervision Mask Schematic,Figure 43-5: Supervision Mask Schematic,docs/images/part12/Li-Chap43-Fig05.svg,yes,1473.5x791.87109,svg,"Prompt and latent interior tokens are masked from ordinary CE; latent boundaries, explicit CoT, answers, and end tokens are controlled by different weights and masks.","The figure shows how different parts of a latent-switch training sequence receive different supervision. The prompt and assistant prefix serve as conditioning context and are assigned ignored labels for ordinary cross-entropy. The latent interval begins with a supervised <latent_think> boundary token, contains latent interior placeholders that are masked from ordinary cross-entropy, and ends with a supervised </latent_think> boundary token. The visible reasoning interval, enclosed by <think> and </think>, is supervised as compressed explicit reasoning and may receive a reduced chain-of-thought loss weight. The final answer span receives strong answer supervision because it is the primary location of task correctness. Teacher-KL supervision applies only to selected explicit reasoning and answer positions, not to the latent interior placeholders. The figure emphasizes that masks are part of the data schema: changing token boundaries, tokenizer behavior, or sequence rendering can change the training objective."
ALT-0074,en,Part 13: Open-source LLM Data Engineering Recipes and Paradigms,Ch44,Chapter 44: LLM Pre-training Data Engineering in Practice,docs/en/part13/ch44_pretrain_recipes.md,39,1944-01-01T00:00:00,Figure 44-1: Data Recipe Funnel,Figure 44-1: Data Recipe Funnel,docs/images/part13/Wang-Chap44-Fig01-EN.svg,yes,800x600,svg,"<div align=""center""<bFigure 44-1: Data Recipe Funnel</b</div.","Funnel diagram showing how reported pre-training data information is converted into engineering actions, moving from technical reports and inferred ratios to mixture design and cleaning or filtering scripts."
ALT-0075,en,Part 13: Open-source LLM Data Engineering Recipes and Paradigms,Ch44,Chapter 44: LLM Pre-training Data Engineering in Practice,docs/en/part13/ch44_pretrain_recipes.md,51,1944-02-01T00:00:00,Figure 44-2: Data Transparency Spectrum for Large Language Models,Figure 44-2: Data Transparency Spectrum for Large Language Models,docs/images/part13/Wang-Chap44-Fig02-EN.svg,yes,900x450,svg,"<div align=""center""<bFigure 44-2: Data Transparency Spectrum for Large Language Models</b</div.","Spectrum diagram comparing white-box, grey-box, and black-box pre-training data transparency, from full disclosure of sources, ratios, cleaning scripts, and downloads to vague closed-source claims with low engineering value."
ALT-0076,en,Part 13: Open-source LLM Data Engineering Recipes and Paradigms,Ch44,Chapter 44: LLM Pre-training Data Engineering in Practice,docs/en/part13/ch44_pretrain_recipes.md,56,1944-03-01T00:00:00,Figure 44-3: Hierarchical Map of Pretraining Data Sources,Figure 44-3: Hierarchical Map of Pretraining Data Sources,docs/images/part13/Wang-Chap44-Fig03.png,yes,1024x1024,png,"<div align=""center""<bFigure 44-3: Hierarchical Map of Pretraining Data Sources (redrawn from the foundational figure in Chapter 4)</b</div.","Layered map of pre-training data sources grouped by quality and structure, with high-quality books, papers, code, Wikipedia, and government documents above semi-structured forums, news, subtitles, and reviews, and raw web data at the bottom."
ALT-0077,en,Part 13: Open-source LLM Data Engineering Recipes and Paradigms,Ch44,Chapter 44: LLM Pre-training Data Engineering in Practice,docs/en/part13/ch44_pretrain_recipes.md,87,1944-04-01T00:00:00,Figure 44-4: Estimated Data Mixture Ratios — Pie Chart Comparison Across Three Models,Figure 44-4: Estimated Data Mixture Ratios — Pie Chart Comparison Across Three Models,docs/images/part13/Wang-Chap44-Fig04-EN.svg,yes,1100x460,svg,"<div align=""center""<bFigure 44-4: Estimated Data Mixture Ratios — Pie Chart Comparison Across Three Models</b</div.","Three pie charts estimating pre-training data mixture ratios for DeepSeek-V3, Qwen 2.5, and Llama-3.1 across math and reasoning, code, web text, and books or academic data."
ALT-0078,en,Part 13: Open-source LLM Data Engineering Recipes and Paradigms,Ch44,Chapter 44: LLM Pre-training Data Engineering in Practice,docs/en/part13/ch44_pretrain_recipes.md,253,1944-05-01T00:00:00,Figure 44-5: Llama-3 Annealing Phase Data Composition Timeline (Curriculum Learning Schedule),Figure 44-5: Llama-3 Annealing Phase Data Composition Timeline (Curriculum Learning Schedule),docs/images/part13/Wang-Chap44-Fig05-EN.svg,yes,1000x600,svg,"<div align=""center""<bFigure 44-5: Llama-3 Annealing Phase Data Composition Timeline (Curriculum Learning Schedule)</b</div.","Stacked bar chart showing a curriculum-style pre-training data mixture schedule in which general web text decreases from early training to annealing while code, math, and synthetic data increase."
ALT-0079,en,Part 13: Open-source LLM Data Engineering Recipes and Paradigms,Ch45,Chapter 45: LLM Post-training Data Engineering: SFT and Preference Alignment,docs/en/part13/ch45_posttrain_recipes.md,64,1945-01-01T00:00:00,Figure 45-1: Schematic of the LLM Three-Stage Post-Training Pipeline,Figure 45-1: Schematic of the LLM Three-Stage Post-Training Pipeline,docs/images/part13/Wang-Chap45-Fig01.svg,yes,1672ptx941pt,svg,"Data flow relationships among SFT, Preference Alignment, and Online Continuous Optimization showing the main sequence and control points from Layer 1: SFT Data, Optimization Goal, Imitation and formatting, (Maximum Likelihood, Estimation, MLE).","The figure expands Data flow relationships among SFT, Preference Alignment, and Online Continuous Optimization into labeled components: Layer 1: SFT Data, Optimization Goal, Imitation and formatting, (Maximum Likelihood, Estimation, MLE), Typical Scale, Typically controlled at 10⁵, to 10⁶ samples, (quality > quantity), Core Functions of the Data, • Define the basic response format, • Set task/domain boundaries, • Establish assistant role and tone, • Enforce baseline safety behaviors. Additional labels include • Teach multi-turn dialogue turn-taking structure, SFT Model, Base Model, (non-conscious, predictor / text, completer), Data, Engineering. Read left to right or around the loop as a data-engineering process, with upstream artifacts transformed, validated, and packaged for downstream training or governance use."
ALT-0080,en,Part 13: Open-source LLM Data Engineering Recipes and Paradigms,Ch45,Chapter 45: LLM Post-training Data Engineering: SFT and Preference Alignment,docs/en/part13/ch45_posttrain_recipes.md,142,1945-02-01T00:00:00,"Figure 45-2: Pipeline Comparison of the Three SFT Synthesis Schools: Self-Instruct, Evol-Instruct, and Magpie","Figure 45-2: Pipeline Comparison of the Three SFT Synthesis Schools: Self-Instruct, Evol-Instruct, and Magpie",docs/images/part13/Wang-Chap45-Fig02.svg,yes,1672x941,svg,"Data entry points, generation methods, and quality control checkpoints for the three SFT synthesis approaches showing Self-Instruct, Paradigm, Evol-Instruct, Magpie, Data Input, Manual Seed Pool.","The figure expands Data entry points, generation methods, and quality control checkpoints for the three SFT synthesis approaches into labeled components: Self-Instruct, Paradigm, Evol-Instruct, Magpie, Data Input, Manual Seed Pool, (Human + Machine), Generation Method: Seed-inspired Expansion, (Few-shot Prompting), Task Pool, Filtering &, Deduplication, (ROUGE), Generate. Additional labels include Response, Quality Check, Diversity &, Answerability, Check, Basic, Synthetic, Data."
ALT-0081,en,Part 13: Open-source LLM Data Engineering Recipes and Paradigms,Ch45,Chapter 45: LLM Post-training Data Engineering: SFT and Preference Alignment,docs/en/part13/ch45_posttrain_recipes.md,237,1945-03-01T00:00:00,Figure 45-3: Tülu-3 Three-Stage Data Flow and Scale Schematic,Figure 45-3: Tülu-3 Three-Stage Data Flow and Scale Schematic,docs/images/part13/Wang-Chap45-Fig03.svg,yes,1672x941,svg,"Data flow and stage relationships in Tülu-3 from SFT-Mix and DPO mix to RLVR showing the main sequence and control points from Comprehensive LLM Post-Training Pipeline Based on USI Logic, Learning Patterns (SFT), Distinguishing Good / Bad (DPO), Seeking True Solutions (RLVR), Stage 1: SFT-Mix.","The figure expands Data flow and stage relationships in Tülu-3 from SFT-Mix and DPO mix to RLVR into labeled components: Comprehensive LLM Post-Training Pipeline Based on USI Logic, Learning Patterns (SFT), Distinguishing Good / Bad (DPO), Seeking True Solutions (RLVR), Stage 1: SFT-Mix, (Behavior Template Layer), Approx. 939K Samples, General Chat, Reasoning & Code, Safety &, Alignment, Diversified, Data Sources, Endow the model with. Additional labels include instruction-following ability, Establish the basic behavior of, a ""conversational agent"", Model, Weight, Transfer, Stage 2: DPO Mix, (Preference Refinement Layer). Read left to right or around the loop as a data-engineering process, with upstream artifacts transformed, validated, and packaged for downstream training or governance use."
ALT-0082,en,Part 13: Open-source LLM Data Engineering Recipes and Paradigms,Ch46,Chapter 46: Reasoning Models and RL Data Engineering: R1 / QwQ Paradigm,docs/en/part13/ch46_rl_reasoning_data.md,73,1946-01-01T00:00:00,Figure 46-1: The four stages of the R1-style reasoning data flywheel,Figure 46-1: The four stages of the R1-style reasoning data flywheel,docs/images/part13/Xu-Chap46-Fig01.svg,yes,1672x941,svg,"The data feedback relationships among cold-start SFT, large-scale RL, rejection sampling, and second-round SFT showing After the second-round SFT, the stronger model becomes, the starting point for, the next RL round, (Policy Model), Stage 1: Cold-Start SFT (Seed Stage).","The figure expands The data feedback relationships among cold-start SFT, large-scale RL, rejection sampling, and second-round SFT into labeled components: After the second-round SFT, the stronger model becomes, the starting point for, the next RL round, (Policy Model), Stage 1: Cold-Start SFT (Seed Stage), Input a small number, (a few thousand), of carefully selected, Long-CoT samples, First Driving Force, Logical Templates, Explicitly mark the <think> tag, and a machine-parsable format. Additional labels include <think>, reasoning process, structured math / code organization, </think>, Stage 4: Second-Round SFT, (Consolidation Stage), Re-mix the selected high-quality, reasoning data with general."
ALT-0083,en,Part 13: Open-source LLM Data Engineering Recipes and Paradigms,Ch46,Chapter 46: Reasoning Models and RL Data Engineering: R1 / QwQ Paradigm,docs/en/part13/ch46_rl_reasoning_data.md,180,1946-02-01T00:00:00,Figure 46-2: Reward signal and verifier architecture for reasoning data,Figure 46-2: Reward signal and verifier architecture for reasoning data,docs/images/part13/Xu-Chap46-Fig02.svg,yes,1672x941,svg,"The relationship among rule-based rewards, model-based rewards, and human audits showing Model Output, <think>, <answer>, (Hard Validation Layer), Extractor, regex.","The figure expands The relationship among rule-based rewards, model-based rewards, and human audits into labeled components: Model Output, <think>, <answer>, Rule-based Reward, (Hard Validation Layer), Extractor, regex, Validator, Math, (Sympy), Code, (Unit Test), Format, (JSON/XML). Additional labels include Features: High reliability, low cost, strong determinism, Deterministic Score, Model-based Reward, (Soft Semantic Layer), Judge Model, (LLM-as-a-Judge), Prompt, model response, reference answer, Evaluation items: autonomy, hallucination."
ALT-0084,en,Part 13: Open-source LLM Data Engineering Recipes and Paradigms,Ch46,Chapter 46: Reasoning Models and RL Data Engineering: R1 / QwQ Paradigm,docs/en/part13/ch46_rl_reasoning_data.md,225,1946-03-01T00:00:00,Figure 46-3: Long-CoT data sample cross-section,Figure 46-3: Long-CoT data sample cross-section,docs/images/part13/Xu-Chap46-Fig03.svg,yes,1672ptx941pt,svg,"A cross-section of a Long-CoT data sample illustrating three reasoning trajectory patterns: Reflection, Verification, and Backtrack showing <think>, </think>, Mode 1: Self-Monitoring / Reflection (Reflection), “Wait, my previous assumption (that the denominator is nonzero) may, not hold under the boundary conditions. I need to re-check the interval range.”, Function.","The figure expands A cross-section of a Long-CoT data sample illustrating three reasoning trajectory patterns: Reflection, Verification, and Backtrack into labeled components: <think>, </think>, Mode 1: Self-Monitoring / Reflection (Reflection), “Wait, my previous assumption (that the denominator is nonzero) may, not hold under the boundary conditions. I need to re-check the interval range.”, Function, Demonstrates the model's ability to re-evaluate its, own reasoning process, Mode 2: Self-Check / Verification (Verification), 4 + 2 = 6; substitute into the right-hand side: 3 × 2 = 6, Both sides are equal, so the stepwise conclusion is correct.”, Demonstrates the model actively seeking Ground Truth, signals to support its reasoning chain and prevent the accumulation of errors, Mode 3: Backtracking / Correction (Backtrack). Additional labels include “Based on the previous verification."
ALT-0085,en,Part 13: Open-source LLM Data Engineering Recipes and Paradigms,Ch47,Chapter 47: VLM Data Recipes from Pre-training to Visual Alignment,docs/en/part13/ch47_vlm_data_recipes.md,37,1947-01-01T00:00:00,Figure 47-1: Multimodal Data Engineering Panorama,Figure 47-1: Multimodal Data Engineering Panorama,docs/images/part13/Cao-Chap47-Fig01.png,yes,1024x1024,png,"<div align=""center""<bFigure 47-1: Multimodal Data Engineering Panorama (adapted from Chapter 8 base figure)</b</div.","Five-stage multimodal image-text data engineering pipeline covering acquisition, format parsing, safety filtering, semantic alignment, and sequence assembly, supported by distributed computing, metadata, and lineage tracking."
ALT-0086,en,Part 13: Open-source LLM Data Engineering Recipes and Paradigms,Ch47,Chapter 47: VLM Data Recipes from Pre-training to Visual Alignment,docs/en/part13/ch47_vlm_data_recipes.md,47,1947-02-01T00:00:00,Figure 47-2: VLM Three-Stage Data Engineering Pipeline,Figure 47-2: VLM Three-Stage Data Engineering Pipeline,docs/images/part13/Cao-Chap47-Fig02-EN.svg,yes,900x660,svg,"<div align=""center""<bFigure 47-2: VLM Three-Stage Data Pipeline</b</div.","Three-stage vision-language model data engineering pipeline showing pre-training for feature alignment, multi-task high-resolution alignment, and supervised fine-tuning, with data volume decreasing and quality requirements increasing across stages."
ALT-0087,en,Part 13: Open-source LLM Data Engineering Recipes and Paradigms,Ch47,Chapter 47: VLM Data Recipes from Pre-training to Visual Alignment,docs/en/part13/ch47_vlm_data_recipes.md,114,1947-03-01T00:00:00,Figure 47-3: Native vs. Dynamic Resolution Data Pipeline Comparison,Figure 47-3: Native vs. Dynamic Resolution Data Pipeline Comparison,docs/images/part13/Cao-Chap47-Fig03-EN.svg,yes,800x750,svg,"<div align=""center""<bFigure 47-3: Native vs. Dynamic Resolution Data Pipeline Comparison</b</div.",Comparison diagram of two high-resolution image handling strategies for vision-language models: dynamic patching with fixed-size ViT encoding and native-resolution processing with two-dimensional positional encoding.
ALT-0088,en,Part 13: Open-source LLM Data Engineering Recipes and Paradigms,Ch47,Chapter 47: VLM Data Recipes from Pre-training to Visual Alignment,docs/en/part13/ch47_vlm_data_recipes.md,145,1947-04-01T00:00:00,Figure 47-4: Multimodal Instruction Synthesis Pipeline,Figure 47-4: Multimodal Instruction Synthesis Pipeline,docs/images/part13/Cao-Chap47-Fig04-EN.svg,yes,1000x800,svg,"<div align=""center""<bFigure 47-4: Multimodal Instruction Synthesis Pipeline</b</div.","Multimodal instruction synthesis pipeline showing seed images processed by perception models into textual representations, then converted by an LLM instruction generator and quality filter into a high-quality multimodal instruction dataset."
ALT-0089,en,Part 13: Open-source LLM Data Engineering Recipes and Paradigms,Ch48,Chapter 48: Multimodal Generative Model Data Engineering: T2I and T2V Pipelines,docs/en/part13/ch48_t2i_t2v.md,157,1948-01-01T00:00:00,Figure 48-1: T2I Data Pipeline,Figure 48-1: T2I Data Pipeline,docs/images/part13/Zhang-Chap48-Fig01.svg,yes,4349x2413,svg,"T2I Data Pipeline. More sophisticated systems additionally route samples by data source, aesthetic score, caption type, safety tier, presence of text, presence of human subjects, and presence of complex multi-subject scenes. This diagram shows how text-to-image training data is processed from raw sources into training buckets. Data from LAION-5B, the DataComp candidate pool, and self-collected high-quality image sets is filtered through URL, format, duplicate, image-text matching, safety, privacy, and aesthetic preference checks. Captions are then rewritten to improve descriptive quality and diversity, followed by manual spot-checking and auditing. The final data is bucketed by resolution, aspect ratio, quality tier, and special capabilities to support more stable model training.",
ALT-0090,en,Part 13: Open-source LLM Data Engineering Recipes and Paradigms,Ch48,Chapter 48: Multimodal Generative Model Data Engineering: T2I and T2V Pipelines,docs/en/part13/ch48_t2i_t2v.md,266,1948-02-01T00:00:00,Figure 48-2: T2V Data Pipeline,Figure 48-2: T2V Data Pipeline,docs/images/part13/Zhang-Chap48-Fig02.svg,yes,5267x1397,svg,"T2V Data Pipeline. This reveals that a T2V data pipeline is not a linear ""clean then output"" process, but a progressively converging training organization system. This diagram shows how text-to-video training data is processed from video sources into a trainable dataset. Public videos, CC0 asset libraries, and self-collected data are first segmented into single-shot clips, then filtered through motion detection to remove blurred, jittery, watermarked, or low-quality samples. Multi-frame captioning, spatiotemporal alignment, and cinematic language annotation produce structured textual information. The data is then stratified by resolution, quality tier, and SFT requirements, forming a trainable T2V dataset with manifests and audit logs.",
ALT-0091,en,Part 13: Open-source LLM Data Engineering Recipes and Paradigms,Ch48,Chapter 48: Multimodal Generative Model Data Engineering: T2I and T2V Pipelines,docs/en/part13/ch48_t2i_t2v.md,371,1948-03-01T00:00:00,Figure 48-3: Multi-Tier Aesthetic / Copyright / Safety Filtering Architecture,Figure 48-3: Multi-Tier Aesthetic / Copyright / Safety Filtering Architecture,docs/images/part13/Zhang-Chap48-Fig03.svg,yes,3193x3428,svg,"Multi-Tier Aesthetic / Copyright / Safety Filtering Architecture. This diagram shows a layered governance workflow for generative visual data, from safety blocking to quality routing. Data is first screened for hard-blocking risks such as adult content, CSAM, PII, and illegal samples, then reviewed for copyright risk, license status, opt-out lists, logos, watermarks, and brand marks. The system further checks OCR text, subtitle occlusion, borders, low resolution, blur, and compression noise, before routing samples by aesthetics, PickScore, HPSv2, motion, diversity, and rare concepts. Audit logs, manual review, and rollback or appeals support end-to-end governance.",
ALT-0092,en,Part 14: Practical Projects,P01,Project 1: Building a Distributed Mini-C4 Data Pipeline with Ray,docs/en/part14/p01_mini_c4.md,130,P01-1,Figure P01-1,Figure P01-1,docs/images/part14/p01/Xu-Project01-Fig01.svg,yes,900x355,svg,"Mini-C4 Data Pipeline Overview showing the main sequence and control points from Download (Common Crawl), WARC Parsing, Content Extraction, Cleaning, Deduplication (near-duplicate removal).","The figure expands Mini-C4 Data Pipeline Overview into labeled components: Download (Common Crawl), WARC Parsing, Content Extraction, Cleaning, Deduplication (near-duplicate removal), Language Split, Quality Filtering, Training Packaging, Evaluation, Validation / QA, Mini-C4 Data Processing Pipeline Overview, Text Extraction stage, Corpus Refinement stage, Training Delivery stage. Read left to right or around the loop as a data-engineering process, with upstream artifacts transformed, validated, and packaged for downstream training or governance use."
ALT-0093,en,Part 14: Practical Projects,P01,Project 1: Building a Distributed Mini-C4 Data Pipeline with Ray,docs/en/part14/p01_mini_c4.md,228,P01-2,Figure P01-2,Figure P01-2,docs/images/part14/p01/Xu-Project01-Fig02.svg,yes,900x503,svg,"Parsing Path from WARC to Body Text showing Recommendation widgets, Comments section, Footer links, Clean Text, WARC to Text Extraction Pipeline, JavaScript code.","The figure expands Parsing Path from WARC to Body Text into labeled components: Recommendation widgets, Comments section, Footer links, Clean Text, WARC to Text Extraction Pipeline, JavaScript code, CSS styles, Ads, Navigation bar, HTML Document, HTTP Response, WARC Record, warcio, streaming WARC reader. Additional labels include trafilatura, content extraction."
ALT-0094,en,Part 14: Practical Projects,P01,Project 1: Building a Distributed Mini-C4 Data Pipeline with Ray,docs/en/part14/p01_mini_c4.md,296,P01-3,Figure P01-3,Figure P01-3,docs/images/part14/p01/Xu-Project01-Fig03.svg,yes,900x672,svg,"Heuristic Cleaning Rules Illustration showing Threshold: < 100 chars or > 2M chars, Too short: Hello world, Too long: [very long repeated text......], Length Outlier, Abnormal Avg Token Length, asdkfjaskdfj123123asdfasdf.",
